No	Group	SubjectID	LevelTest	Age	Gender	MonthLearn	MonthStay	ItemID	ExpectedAnswer	ItemType	IsWalkPrefixSet	IsMannerSet	IsAspectSet	ExpectedPath	ExpectedManner	ExpectedDirection	ExpectedAspect	ResponseText	ResponseStatus	Element	ResponseVal	Y
1	Level1	K1001	19.0	27.0	M	24.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	ходят	MotionVerb	path	-	1
1	Level1	K1001	19.0	27.0	M	24.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	ходят	MotionVerb	manner	walk	1
1	Level1	K1001	19.0	27.0	M	24.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	ходят	MotionVerb	direction	multi	0
1	Level1	K1001	19.0	27.0	M	24.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	ходят	MotionVerb	aspect	impf	1
2	Level1	K1002	18.0	33.0	F	48.0	0.75	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	прогуляют	OtherVerb	path	x	0
2	Level1	K1002	18.0	33.0	F	48.0	0.75	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	прогуляют	OtherVerb	manner	x	0
2	Level1	K1002	18.0	33.0	F	48.0	0.75	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	прогуляют	OtherVerb	direction	x	0
2	Level1	K1002	18.0	33.0	F	48.0	0.75	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	прогуляют	OtherVerb	aspect	pf	0
3	Level1	K1003	18.0	20.0	F	54.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	path	-	1
3	Level1	K1003	18.0	20.0	F	54.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	manner	walk	1
3	Level1	K1003	18.0	20.0	F	54.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	direction	uni	1
3	Level1	K1003	18.0	20.0	F	54.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	aspect	impf	1
4	Level1	K1004	17.0	25.0	M	36.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	path	-	1
4	Level1	K1004	17.0	25.0	M	36.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	manner	walk	1
4	Level1	K1004	17.0	25.0	M	36.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	direction	uni	1
4	Level1	K1004	17.0	25.0	M	36.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	aspect	impf	1
5	Level1	K1005	17.0	36.0	M	156.0	1.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	пройдут	MotionVerb	path	pro	0
5	Level1	K1005	17.0	36.0	M	156.0	1.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	пройдут	MotionVerb	manner	walk	1
5	Level1	K1005	17.0	36.0	M	156.0	1.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	пройдут	MotionVerb	direction	-	0
5	Level1	K1005	17.0	36.0	M	156.0	1.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	пройдут	MotionVerb	aspect	pf	0
6	Level1	K1006	16.0	20.0	F	24.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	path	x	0
6	Level1	K1006	16.0	20.0	F	24.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	manner	x	0
6	Level1	K1006	16.0	20.0	F	24.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	direction	x	0
6	Level1	K1006	16.0	20.0	F	24.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	aspect	impf	1
7	Level1	K1007	16.0	20.0	F	48.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	path	x	0
7	Level1	K1007	16.0	20.0	F	48.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	manner	x	0
7	Level1	K1007	16.0	20.0	F	48.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	direction	x	0
7	Level1	K1007	16.0	20.0	F	48.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	aspect	impf	1
8	Level1	K1008	16.0	20.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	path	x	0
8	Level1	K1008	16.0	20.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	manner	x	0
8	Level1	K1008	16.0	20.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	direction	x	0
8	Level1	K1008	16.0	20.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	aspect	impf	1
9	Level1	K1009	16.0	19.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляли	OtherVerb	path	x	0
